ign,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
1mpala,Xtrfy GP4 Street Blue,Ducky One 2,HyperX Cloud Alpha,ASUS ROG SWIFT PG259QN,Xtrfy,Ducky,HyperX,ASUS
4DRStorm,The Mousepad Company Strata Bold 03,SteelSeries Apex Pro TKL,beyerdynamic DT 990 Pro,Alienware AW2518H,The,SteelSeries,beyerdynamic,Alienware
4zr,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL,HyperX Cloud II,ASUS ROG XG258Q,SteelSeries,SteelSeries,HyperX,ASUS
72hrs,Glorious 3XL,SteelSeries Apex Pro TKL,HyperX Cloud Earbuds,Alienware AW2518H,Glorious,SteelSeries,HyperX,Alienware
7ssk7,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Logitech G Pro X Headset,ZOWIE XL2546,Artisan,Wooting,Logitech,ZOWIE
9impulse,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
ALEX,ZOWIE G-SR,Razer BlackWidow Elite,Fnatic REACT,ZOWIE XL2546,ZOWIE,Razer,Fnatic,ZOWIE
AMANEK,Logitech G840,Logitech G413,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Logitech,Logitech,ZOWIE
ANGE1,Razer Goliathus Speed Cosmic,Wooting 60 HE,HyperX Cloud Revolver,ZOWIE XL2546,Razer,Wooting,HyperX,ZOWIE
ANS,ZOWIE G-SR,Razer Huntsman TE,unknown,unknown,ZOWIE,Razer,unknown,unknown
AZK,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2540,Logitech,Logitech,Logitech,ZOWIE
AZR,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud Revolver S,ZOWIE XL2546,SteelSeries,HyperX,HyperX,ZOWIE
AcilioN,ZOWIE G-SR-SE Dark Grey,Xtrfy K2 RGB White,Turtle Beach Elite Atlas Pro,ZOWIE XL2546,ZOWIE,Xtrfy,Turtle,ZOWIE
Ado,Artisan Ninja FX Zero XSoft,unknown,unknown,ASUS ROG SWIFT PG259QN,Artisan,unknown,unknown,ASUS
AdreN,SteelSeries QcK Heavy,Lenovo Legion K500,Lenovo Legion H500 Pro,ZOWIE XL2546,SteelSeries,Lenovo,Lenovo,ZOWIE
Aerial,Custom Mousepad,Logitech G513,Logitech G Pro X Headset,ASUS ROG SWIFT PG259QN,Custom,Logitech,Logitech,ASUS
Albralelie,Logitech G640 TSM Edition,Custom Keyboard,Logitech G Pro X Headset,Alienware AW2521H,Logitech,Custom,Logitech,Alienware
Aleksib,Logitech G640,Razer Huntsman V2,Razer BlackShark V2,ZOWIE XL2546,Logitech,Razer,Razer,ZOWIE
Alfajer,Zowie G-SR-SE Rouge,HyperX Alloy Origins Core,unknown,Alienware AW2521H,Zowie,HyperX,unknown,Alienware
Almazer,ZOWIE G-SR-SE Dark Grey,HyperX Alloy FPS,HyperX Cloud Alpha,ASUS ROG SWIFT PG259QN,ZOWIE,HyperX,HyperX,ASUS
Anamo,Logitech G640,Logitech G Pro Keyboard,Logitech G Pro Headset,HP OMEN 24.5″,Logitech,Logitech,Logitech,HP
Anas,SteelSeries QcK+,Corsair K65 TKL,HyperX Cloud II,Acer Predator XB252Q,SteelSeries,Corsair,HyperX,Acer
Andilex,SteelSeries QcK XXL,SteelSeries Apex Pro TKL,HyperX Cloud II,Alienware AW2518H,SteelSeries,SteelSeries,HyperX,Alienware
Animal,Glorious 3XL,Razer Huntsman TE,HyperX Cloud II,Alienware AW2518H,Glorious,Razer,HyperX,Alienware
Annihilation,SteelSeries QcK+,HyperX Alloy Origins,HyperX Cloud Alpha S,ZOWIE XL2546K,SteelSeries,HyperX,HyperX,ZOWIE
Apryze,ZOWIE G-SR-SE Divina Pink,Custom Keyboard,unknown,ASUS ROG SWIFT PG259QN,ZOWIE,Custom,unknown,ASUS
