ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio,mouse,mouse_brand,sense,hz,dpi,edpi,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
s1mple,Oleksandr Kostyliev,25,25-29,1997-10-02,Ukraine,EU,Natus Vincere,CS:GO,1.0,Logitech G Pro X Superlight Red,Logitech,3.09,1000.0,400.0,1236.0,Logitech G640 Black,Logitech G915 TKL White,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
NiKo,Nikola Kovač,25,25-29,1997-02-16,Bosnia and Herzegovina,EU,G2 Esports,CS:GO,1.0,ZOWIE S2-C,ZOWIE,1.375,1000.0,400.0,550.0,SteelSeries QcK Heavy,Logitech G715,Logitech G735,ZOWIE XL2566K,SteelSeries,Logitech,Logitech,ZOWIE
m0NESY,Ilya Osipov,17,15-19,2005-05-01,Russia,EU,G2 Esports,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,2.0,1000.0,400.0,800.0,SteelSeries QcK Heavy,Logitech G715,Logitech G Pro X Headset,ZOWIE XL2546 Divina Blue,SteelSeries,Logitech,Logitech,ZOWIE
TenZ,Tyson Ngo,21,20-24,2001-05-05,Canada,NA,Sentinels,VALORANT,3.18,Lamzu Atlantis,Lamzu,0.346,1000.0,800.0,880.2239999999999,Artisan Ninja FX Zero XSoft,Xtrfy K5 Compact RGB,Xtrfy H1,ZOWIE XL2566K,Artisan,Xtrfy,Xtrfy,ZOWIE
b1t,Valerii Vakhovskyi,19,15-19,2003-01-05,Ukraine,EU,Natus Vincere,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,1.42,1000.0,400.0,568.0,ZOWIE G-SR,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,ZOWIE,Logitech,Logitech,ZOWIE
Twistzz,Russel Van Dulken,23,20-24,1999-11-14,Canada,NA,FaZe Clan,CS:GO,1.0,Logitech G Pro X Superlight Red,Logitech,1.7,1000.0,400.0,680.0,VAXEE PA Black,Razer Huntsman V2,SteelSeries Arctis Pro Nova Wireless,ZOWIE XL2546K,VAXEE,Razer,SteelSeries,ZOWIE
ZywOo,Mathieu Herbaut,22,20-24,2000-11-09,France,EU,Team Vitality,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,2.0,1000.0,400.0,800.0,Lethal Gaming Gear Saturn Pro Red,Wooting 60 HE,Corsair HS80,ZOWIE XL2546K,Lethal,Wooting,Corsair,ZOWIE
XANTARES,Can Dörtkardeş,27,25-29,1995-08-07,Turkey,AS,Eternal Fire,CS:GO,1.0,ZOWIE FK1-C,ZOWIE,2.0,1000.0,400.0,800.0,Logitech G640,Corsair K70 RGB MK.2,Corsair Void RGB Elite White,ZOWIE XL2546K,Logitech,Corsair,Corsair,ZOWIE
ropz,Robin Kool,23,20-24,1999-12-22,Estonia,EU,FaZe Clan,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.77,4000.0,400.0,708.0,SteelSeries QcK Heavy,Razer Huntsman V2 TKL,SteelSeries Arctis Pro White,ZOWIE XL2546K,SteelSeries,Razer,SteelSeries,ZOWIE
ScreaM,Adil Benrlitom,28,25-29,1994-07-02,Belgium,EU,Karmine Corp,VALORANT,3.18,Razer Deathadder V3 Pro White,Razer,0.741,1000.0,400.0,942.552,SteelSeries QcK Heavy,SteelSeries 6Gv2,Logitech G Pro X Headset,Alienware AW2521H,SteelSeries,SteelSeries,Logitech,Alienware
