ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio
s1mple,Oleksandr Kostyliev,25,25-29,1997-10-02,Ukraine,EU,Natus Vincere,CS:GO,1.0
NiKo,Nikola Kovač,25,25-29,1997-02-16,Bosnia and Herzegovina,EU,G2 Esports,CS:GO,1.0
m0NESY,Ilya Osipov,17,15-19,2005-05-01,Russia,EU,G2 Esports,CS:GO,1.0
TenZ,Tyson Ngo,21,20-24,2001-05-05,Canada,NA,Sentinels,VALORANT,3.18
b1t,Valerii Vakhovskyi,19,15-19,2003-01-05,Ukraine,EU,Natus Vincere,CS:GO,1.0
Twistzz,Russel Van Dulken,23,20-24,1999-11-14,Canada,NA,FaZe Clan,CS:GO,1.0
ZywOo,Mathieu Herbaut,22,20-24,2000-11-09,France,EU,Team Vitality,CS:GO,1.0
XANTARES,Can Dörtkardeş,27,25-29,1995-08-07,Turkey,AS,Eternal Fire,CS:GO,1.0
ropz,Robin Kool,23,20-24,1999-12-22,Estonia,EU,FaZe Clan,CS:GO,1.0
ScreaM,Adil Benrlitom,28,25-29,1994-07-02,Belgium,EU,Karmine Corp,VALORANT,3.18
dev1ce,Nicolai Reedtz,27,25-29,1995-09-08,Denmark,EU,Astralis,CS:GO,1.0
yay,Jaccob Whiteaker,24,20-24,1998-09-09,United States,NA,Cloud9,VALORANT,3.18
shroud,Michael Grzesiek,28,25-29,1994-06-02,Canada,NA,Content Creator,VALORANT,3.18
kennyS,Kenny Schrub,27,25-29,1995-05-19,France,EU,Falcons Esports,CS:GO,1.0
electronic,Denis Sharipov,24,20-24,1998-09-02,Russia,EU,Natus Vincere,CS:GO,1.0
L1NK,Travis Mendoza,24,20-24,1998-08-08,United Kingdom,EU,Free Agent,VALORANT,3.18
Mistic,James Orfila,21,20-24,2001-11-21,United Kingdom,EU,Free Agent,VALORANT,3.18
YEKINDAR,Mareks Gaļinskis,23,20-24,1999-10-04,Latvia,EU,Team Liquid,CS:GO,1.0
Aunkere,Eugene Karyat,21,20-24,2001-08-21,Russia,EU,Benched Heroes,CS:GO,1.0
Enzo,Enzo Mestari,26,25-29,1996-06-12,France,EU,Free Agent,VALORANT,3.18
Leo,Leo Jannesson,19,15-19,2003-12-15,Sweden,EU,Fnatic,VALORANT,3.18
b0i,Aaron Thao,26,25-29,1996-11-09,United States,NA,Free Agent,VALORANT,3.18
Kyedae,Kyedae Shymko,21,20-24,2001-12-01,Canada,NA,100 Thieves,VALORANT,3.18
pAura,Melih Karaduran,25,25-29,1997-10-27,Turkey,AS,Team Heretics,VALORANT,3.18
d3ffo,Nikita Sudakov,21,20-24,2001-10-10,Russia,EU,Free Agent,VALORANT,3.18
Alfajer,Emir Ali Beder,17,15-19,2005-06-10,Turkey,AS,Fnatic,VALORANT,3.18
Mazino,Roberto Francisco Rivas Bugueño,21,20-24,2001-06-29,Chile,SA,Leviatan,VALORANT,3.18
Shao,Andrey Kiprsky,22,20-24,2000-01-27,Russia,EU,Natus Vincere,VALORANT,3.18
Toose,Ilya Chernyshov,20,20-24,2002-07-29,Russia,EU,Gambit,Fortnite,0.25
EpikWhale,Shane Cotton,20,20-24,2002-08-03,United States,NA,TSM,Fortnite,0.25
Sommerset,Kayla ,19,15-19,2003-08-09,United States,NA,Content Creator,Fortnite,0.25
MrSavage,Martin Foss Andersen,18,15-19,2004-11-12,Norway,EU,Become Legends,Fortnite,0.25
aqua,David Wang,20,20-24,2002-07-01,Austria,EU,Content Creator,Fortnite,0.25
Rogue,Tanner Trebb,27,25-29,1995-11-29,Canada,NA,NRG,Apex,1.0
Victor,Victor Wong,26,25-29,1996-09-14,United States,NA,NRG,VALORANT,3.18
Marved,Jimmy Nguyen,22,20-24,2000-01-24,Canada,NA,Free Agent,VALORANT,3.18
phaze,Karim Fouad,20,20-24,2002-01-07,Egypt,AF,Team RA’AD,VALORANT,3.18
Suygetsu,Dmitry Ilyushin,20,20-24,2002-07-16,Russia,EU,Natus Vincere,VALORANT,3.18
foxz,Itthirit Ngamsaard,23,20-24,1999-04-08,Thailand,AS,Talon Esports,VALORANT,3.18
lyr1c,Lyric Quinonez,24,20-24,1998-05-11,United States,NA,eUnited,Apex,1.0
sushiboys,Panyawat Subsiriroj,22,20-24,2000-11-06,Thailand,AS,Talon Esports,VALORANT,3.18
Xdll,Yuto Mizomori,17,15-19,2005-12-11,Japan,AS,SCARZ,VALORANT,3.18
mwzera,Leonardo Serrati,21,20-24,2001-06-30,Brazil,SA,FURIA,VALORANT,3.18
Patiphan,Patiphan Chaiwong,19,15-19,2003-09-23,Thailand,AS,Talon Esports,VALORANT,3.18
Cryocells,Matthew Panganiban,20,20-24,2002-12-22,United States,NA,100 Thieves,VALORANT,3.18
Chronicle,Timofeyy Khromov,20,20-24,2002-08-16,Russia,EU,Fnatic,VALORANT,3.18
BCJ,Brendan Jensen,22,20-24,2000-07-04,United States,NA,Evil Geniuses,VALORANT,3.18
