ign,mouse,mouse_brand,sense,hz,dpi,edpi
s1mple,Logitech G Pro X Superlight Red,Logitech,3.09,1000.0,400.0,1236.0
NiKo,ZOWIE S2-C,ZOWIE,1.375,1000.0,400.0,550.0
m0NESY,Logitech G Pro X Superlight White,Logitech,2.0,1000.0,400.0,800.0
TenZ,Lamzu Atlantis,Lamzu,0.346,1000.0,800.0,276.79999999999995
b1t,Logitech G Pro X Superlight White,Logitech,1.42,1000.0,400.0,568.0
Twistzz,Logitech G Pro X Superlight Red,Logitech,1.7,1000.0,400.0,680.0
ZywOo,Razer Deathadder V3 Pro,Razer,2.0,1000.0,400.0,800.0
XANTARES,ZOWIE FK1-C,ZOWIE,2.0,1000.0,400.0,800.0
ropz,Razer Deathadder V3 Pro,Razer,1.77,4000.0,400.0,708.0
ScreaM,Razer Deathadder V3 Pro White,Razer,0.741,1000.0,400.0,296.4
dev1ce,Logitech G Pro X Superlight Magenta,Logitech,1.9,1000.0,400.0,760.0
yay,Logitech G Pro X Superlight,Logitech,0.27,1000.0,800.0,216.0
shroud,Logitech G303 Shroud Edition,Logitech,0.8,1000.0,400.0,320.0
kennyS,Razer Deathadder V2 Pro,Razer,2.2,1000.0,400.0,880.0000000000001
electronic,Razer Deathadder V3 Pro White,Razer,2.2,1000.0,400.0,880.0000000000001
L1NK,Logitech G Pro X Superlight Magenta,Logitech,0.3,1000.0,800.0,240.0
Mistic,VAXEE ZYGEN NP-01,VAXEE,0.58,1000.0,400.0,231.99999999999997
YEKINDAR,ZOWIE EC2-C,ZOWIE,1.2,1000.0,800.0,960.0
Aunkere,Logitech G703,Logitech,2.1,1000.0,500.0,1050.0
Enzo,Logitech G Pro X Superlight,Logitech,0.5,1000.0,800.0,400.0
Leo,Razer Deathadder V3 Pro,Razer,0.41,1000.0,400.0,164.0
b0i,Logitech G303 Shroud Edition,Logitech,0.455,1000.0,1600.0,728.0
Kyedae,FinalMouse Starlight-12,FinalMouse,0.4,1000.0,800.0,320.0
pAura,ZOWIE S2,ZOWIE,0.55,1000.0,400.0,220.00000000000003
d3ffo,VAXEE ZYGEN NP-01,VAXEE,0.51,1000.0,800.0,408.0
Alfajer,Razer Deathadder V3 Pro,Razer,0.45,1000.0,400.0,180.0
SirMaza,Logitech G Pro X Superlight,Logitech,0.5,1000.0,400.0,200.0
Mazino,Logitech G703,Logitech,0.22,1000.0,1600.0,352.0
sScary,Logitech G Pro X Superlight,Logitech,0.36,1000.0,800.0,288.0
Shao,Xtrfy M4 Wireless,Xtrfy,0.428,1000.0,400.0,171.2
Melser,Logitech G Pro X Superlight Magenta,Logitech,0.6,1000.0,400.0,240.0
Rogue,FinalMouse Starlight-12,FinalMouse,2.1,1000.0,400.0,840.0
Victor,Logitech G703,Logitech,0.283,1000.0,800.0,226.39999999999998
